"Site gecrawlt","https://www.ehip.eu/"
"Datum","2024-08-27"
"Zeit","17:05:50"
""
"Zusammenfassung","URLs","% von Gesamt","URLs insgesamt","Beschreibung von URLs insgesamt"
"Gefundene URLs insgesamt","500","100,00%","500","Gefundene URLs"
"Gecrawlte URLs insgesamt","498","99,60%","500","Gefundene URLs"
"Von robots.txt gesperrte interne Seiten insgesamt","0","0,00%","500","Gefundene URLs"
"Von robots.txt gesperrte externe Seiten insgesamt","2","0,40%","500","Gefundene URLs"
""
"Angezeigte URLs","500","100,00%","500","Angezeigte URLs"
"Interne URLs insgesamt","437","87,40%","500","Angezeigte URLs"
"Externe URLs insgesamt","63","12,60%","500","Angezeigte URLs"
"Gesamtzahl interner indexierbarer URLs","412","82,40%","500","Angezeigte URLs"
"Gesamtzahl der internen nicht indexierbaren URLs","25","5,00%","500","Angezeigte URLs"
""
"Intern"
"Alle","437","100,00%","437","Interne URLs"
"HTML","129","29,52%","437","Interne URLs"
"JavaScript","2","0,46%","437","Interne URLs"
"CSS","20","4,58%","437","Interne URLs"
"Bilder","286","65,45%","437","Interne URLs"
"Medien","0","0,00%","437","Interne URLs"
"Schriftarten","0","0,00%","437","Interne URLs"
"XML","0","0,00%","437","Interne URLs"
"PDF","0","0,00%","437","Interne URLs"
"Plugins","0","0,00%","437","Interne URLs"
"Andere","0","0,00%","437","Interne URLs"
"Unbekannt","0","0,00%","437","Interne URLs"
""
"Extern"
"Alle","63","100,00%","63","Externe URLs"
"HTML","56","88,89%","63","Externe URLs"
"JavaScript","2","3,17%","63","Externe URLs"
"CSS","0","0,00%","63","Externe URLs"
"Bilder","1","1,59%","63","Externe URLs"
"Medien","0","0,00%","63","Externe URLs"
"Schriftarten","0","0,00%","63","Externe URLs"
"XML","0","0,00%","63","Externe URLs"
"PDF","0","0,00%","63","Externe URLs"
"Plugins","0","0,00%","63","Externe URLs"
"Andere","2","3,17%","63","Externe URLs"
"Unbekannt","2","3,17%","63","Externe URLs"
""
"Sicherheit"
"Alle","437","100,00%","437","Alle internen und externen Nicht-HTML-URLs"
"HTTP-URLs","0","0,00%","437","Alle internen und externen Nicht-HTML-URLs"
"HTTPS-URLs","437","100,00%","437","Alle internen und externen Nicht-HTML-URLs"
"Gemischter Inhalt","0","0,00%","437","Alle internen und externen Nicht-HTML-URLs"
"Formular-URL unsicher","0","0,00%","437","Alle internen und externen Nicht-HTML-URLs"
"Formular auf HTTP-URL","0","0,00%","437","Alle internen und externen Nicht-HTML-URLs"
"Unsichere Cross-Origin-Links","122","27,92%","437","Alle internen und externen Nicht-HTML-URLs"
"Protokollrelative Ressourcen-Links","0","0,00%","437","Alle internen und externen Nicht-HTML-URLs"
"Fehlender HSTS-Header","0","0,00%","437","Alle internen und externen Nicht-HTML-URLs"
"Fehlender Content-Security-Policy-Header","0","0,00%","437","Alle internen und externen Nicht-HTML-URLs"
"Fehlender X-Content-Type-Options-Header","0","0,00%","437","Alle internen und externen Nicht-HTML-URLs"
"Fehlender X-Frame-Options-Header","0","0,00%","437","Alle internen und externen Nicht-HTML-URLs"
"Fehlender Secure-Referrer-Policy-Header","0","0,00%","437","Alle internen und externen Nicht-HTML-URLs"
"Falscher Inhaltstyp","0","0,00%","437","Alle internen und externen Nicht-HTML-URLs"
""
"Antwort-Codes"
"Alle","500","100,00%","500","Alle internen und externen gecrawlten URLs"
"Von robots.txt gesperrt","2","0,40%","500","Alle internen und externen gecrawlten URLs"
"Gesperrte Ressource","0","0,00%","500","Alle internen und externen gecrawlten URLs"
"Keine Antwort","0","0,00%","500","Alle internen und externen gecrawlten URLs"
"Erfolg (2xx)","472","94,40%","500","Alle internen und externen gecrawlten URLs"
"Umleitung (3xx)","21","4,20%","500","Alle internen und externen gecrawlten URLs"
"Umleitung (JavaScript)","0","0,00%","500","Alle internen und externen gecrawlten URLs"
"Umleitung (Meta Refresh)","0","0,00%","500","Alle internen und externen gecrawlten URLs"
"Client-Fehler (4xx)","4","0,80%","500","Alle internen und externen gecrawlten URLs"
"Server-Fehler (5xx)","0","0,00%","500","Alle internen und externen gecrawlten URLs"
"Intern Alle","437","87,40%","500","Alle intern gecrawlten URLs"
"Intern von Robots.txt blockiert","0","0,00%","500","Alle intern gecrawlten URLs"
"Interne blockierte Ressource","0","0,00%","500","Alle intern gecrawlten URLs"
"Intern keine Antwort","0","0,00%","500","Alle intern gecrawlten URLs"
"Interner Erfolg (2xx)","430","86,00%","500","Alle intern gecrawlten URLs"
"Interne Umleitung (3xx)","7","1,40%","500","Alle intern gecrawlten URLs"
"Interne Umleitung (JavaScript)","0","0,00%","500","Alle intern gecrawlten URLs"
"Interne Umleitung (Meta Refresh)","0","0,00%","500","Alle intern gecrawlten URLs"
"Interne Umleitungskette","0","0,00%","500","Alle intern gecrawlten URLs"
"Interne Umleitungsschleife","0","0,00%","500","Alle intern gecrawlten URLs"
"Interner Client-Fehler (4xx)","0","0,00%","500","Alle intern gecrawlten URLs"
"Interner Serverfehler (5xx)","0","0,00%","500","Alle intern gecrawlten URLs"
"Extern Alle","63","12,60%","500","Alle extern gecrawlten URLs"
"Extern blockiert durch Robots.txt","2","0,40%","500","Alle extern gecrawlten URLs"
"Externe blockierte Ressource","0","0,00%","500","Alle extern gecrawlten URLs"
"Extern keine Antwort","0","0,00%","500","Alle extern gecrawlten URLs"
"Externer Erfolg (2xx)","42","8,40%","500","Alle extern gecrawlten URLs"
"Externe Umleitung (3xx)","14","2,80%","500","Alle extern gecrawlten URLs"
"Externe Umleitung (JavaScript)","0","0,00%","500","Alle extern gecrawlten URLs"
"Externe Umleitung (Meta Refresh)","0","0,00%","500","Alle extern gecrawlten URLs"
"Externer Clientfehler (4xx)","4","0,80%","500","Alle extern gecrawlten URLs"
"Externer Serverfehler (5xx)","0","0,00%","500","Alle extern gecrawlten URLs"
""
"URL"
"Alle","437","100,00%","437","Interne URLs"
"Nicht-ASCII-Zeichen","47","10,76%","437","Interne URLs"
"Unterstriche","0","0,00%","437","Interne URLs"
"Großbuchstaben","7","1,60%","437","Interne URLs"
"Mehrere Slashes","0","0,00%","437","Interne URLs"
"Sich wiederholender Pfad","1","0,23%","437","Interne URLs"
"Enthält Leerzeichen","0","0,00%","437","Interne URLs"
"Interne Suche","0","0,00%","437","Interne URLs"
"Parameter","2","0,46%","437","Interne URLs"
"Fehlerhaftes Lesezeichen","0","0,00%","437","Interne URLs"
"GA-Verfolgungsparameter","0","0,00%","437","Interne URLs"
"Über 115 Zeichen","6","1,37%","437","Interne URLs"
""
"Seitentitel"
"Alle","122","100,00%","122","Interne HTML-Seiten mit 2xx-Antwort"
"Fehlende","0","0,00%","122","Interne HTML-Seiten mit 2xx-Antwort"
"Duplikate","0","0,00%","122","Interne HTML-Seiten mit 2xx-Antwort"
"Über 60 Zeichen","17","13,93%","122","Interne HTML-Seiten mit 2xx-Antwort"
"Unter 30 Zeichen","16","13,11%","122","Interne HTML-Seiten mit 2xx-Antwort"
"Über 561 Pixel","17","13,93%","122","Interne HTML-Seiten mit 2xx-Antwort"
"Unter 200 Pixel","9","7,38%","122","Interne HTML-Seiten mit 2xx-Antwort"
"Gleich wie H1","0","0,00%","122","Interne HTML-Seiten mit 2xx-Antwort"
"Mehrere","0","0,00%","122","Interne HTML-Seiten mit 2xx-Antwort"
"Außerhalb von <head>","0","0,00%","122","Interne HTML-Seiten mit 2xx-Antwort"
""
"Meta Description"
"Alle","122","100,00%","122","Interne HTML-Seiten mit 2xx-Antwort"
