"Adresse","Wortanzahl","Sätze zählen","Durchschnittliche Wörter pro Satz","Flesch Reading Ease-Punktzahl","Lesbarkeit","Engste Ähnlichkeitsübereinstimmung","Anzahl der Nahduplikate","Sprachfehler insgesamt","Rechtschreibfehler","Grammatikfehler","Language","Hash","Indexierbarkeit","Indexierbarkeitsstatus"
"https://www.ehip.eu/","1716","360","4,767","31,071","Schwer","","","","","","de","7995353dfd86dcafe22d8c260c7595ff","Indexierbar",""
"https://www.ehip.eu/study-guide/dein-studiensupport/","499","79","6,316","47,500","Schwer","","","","","","de","707cb2bd303b04c6756ede73a9b1df2d","Indexierbar",""
"https://www.ehip.eu/study-guide/digitale-lerntools/","596","103","5,786","29,207","Sehr schwer","","","","","","de","912797c7bf4c1f0e57d38cdecf4a07af","Indexierbar",""
"https://www.ehip.eu/study-guide/studieren-mit-ihk-abschluss/","1199","188","6,378","34,901","Schwer","","","","","","de","4da1a2fbacbcd83b886b8f1812f52e35","Indexierbar",""
"https://www.ehip.eu/ueber-uns/qualitaet/","830","192","4,323","30,597","Schwer","","","","","","de","8debaad888de590e395c37c8a843e6c2","Indexierbar",""
"https://www.ehip.eu/study-guide/gebuehrenmodelle/","425","84","5,060","48,822","Schwer","","","","","","de","9772b96fe90cd420cd9733e82ff5ec97","Indexierbar",""
"https://www.ehip.eu/marketing-und-kommunikation-bachelorstudiengaenge/","909","180","5,050","31,206","Schwer","","","","","","de","6f0224858b5a30b3efa0348ee4f560d1","Indexierbar",""
"https://www.ehip.eu/hochschule/karriere/","876","157","5,580","24,922","Sehr schwer","","","","","","de","1abc9ff2739cc9397f87f5eba7349746","Indexierbar",""
"https://www.ehip.eu/coming-soon-duale-studiengaenge-unternehmen/","931","220","4,232","34,794","Schwer","","","","","","de","2fd19de1f20ca03910054e382ae9f34c","Indexierbar",""
"https://www.ehip.eu/study-guide/fernstudium-finanzieren/","1365","222","6,149","48,004","Schwer","","","","","","de","23e04db2b3170577c3de30580873c905","Indexierbar",""
"https://www.ehip.eu/fernstudium/bachelor/sportmanagement-studium/","3678","715","5,144","32,713","Schwer","","","","","","de","239afe3cbb075c3d9ed7716e74261eec","Indexierbar",""
