"Problemname","Problemtyp","Problempriorität","URLs","% von Gesamt","Beschreibung","Wie repariert man"
"Seitentitel: Über 60 Zeichen","Hinweis","Mittel","17","13,930","Seiten mit Seitentiteln, die das konfigurierte Limit überschreiten. Zeichen, die dieses Limit überschreiten, werden möglicherweise in den Suchergebnissen von Google abgeschnitten und haben weniger Gewicht bei der Bewertung.","Schreiben Sie prägnante Seitentitel, um sicherzustellen, dass wichtige Wörter in den Suchergebnissen nicht abgeschnitten werden, für Benutzer nicht sichtbar sind und bei der Bewertung möglicherweise weniger gewichtet werden."
"Bilder: Fehlende Größenattribute","Hinweis","Niedrig","13","4,530","Bildelemente, für die im HTML keine Abmessungen (also Breiten- und Höhenattribute) angegeben sind. Das kann zu größeren Layout-Verschiebungen führen, wenn die Seite lädt, was frustrierend für die Nutzer ist. Es ist auch einer der Hauptgründe für eine hohe kumulative Layout-Verschiebung (CLS).","Geben Sie mithilfe der Breiten- und Höhenattribute in HTML für alle Bilder ihre eigentliche Größe an. Das ermöglicht es dem Browser, vor dem Laden ausreichend Platz für alle Bilder zu berechnen, um große Layout-Verschiebungen zu vermeiden."
"H1: Fehlende","Fehler","Mittel","54","44,260","Seiten, auf denen ein <h1> fehlt, der Inhalt leer ist oder ein Leerzeichen vorhanden ist. Die <h1> sollten den Haupttitel und den Zweck der Seite beschreiben und gelten als eines der stärksten On-Page-Ranking-Signale.","Stellen Sie sicher, dass wichtige Seiten prägnante, beschreibende und eindeutige Überschriften haben, um Benutzern zu helfen, und ermöglichen Sie es Suchmaschinen, die Seite für relevante Suchanfragen zu bewerten und einzustufen."
"H1: Duplikate","Hinweis","Niedrig","8","6,560","Seiten mit Duplikaten <h1>. Es ist wichtig, eindeutige, einzigartige und nützliche Hauptüberschriften zu haben. Wenn jede Seite die gleiche <h1> hat, dann kann es für Benutzer und Suchmaschinen schwieriger werden, eine Seite von einer anderen zu unterscheiden.","Duplikate aktualisieren<h1> wenn nötig, damit wichtige Seiten eine eindeutige und beschreibende<h1> für Nutzer und Suchmaschinen enthalten. Wenn es sich um doppelte Seiten handelt, beheben Sie diese, indem Sie auf eine einzelne Version verlinken, und leiten Sie sie um oder verwenden Sie gegebenenfalls Canonicals."
"Sicherheit: Unsichere Cross-Origin-Links","Warnung","Niedrig","122","27,920","URLs, die mit dem Attribut target=""_blank"" (zum Öffnen in einem neuen Tab) auf externe Websites verlinken, ohne gleichzeitig rel=""noopener"" (oder rel=""noreferrer"") zu verwenden. Durch die alleinige Verwendung von target=""_blank"" sind diese Seiten sowohl Sicherheits- als auch Performanceproblemen für einige ältere Browser ausgesetzt, die auf weniger als 5 % des Marktanteils geschätzt werden. Das Festlegen von target=""_blank"" für <a>-Elemente bietet implizit dasselbe rel-Verhalten wie das Festlegen von rel=""noopener"", wodurch window.opener für die meisten modernen Browser wie Chrome, Safari, Firefox und Edge nicht festgelegt wird. Die externen Links, die das Attribut target=""_blank"" selbst enthalten, können in der Registerkarte „Outlinks“ und der Spalte „Ziel“ angezeigt werden. Sie können zusammen mit den Seiten, von denen sie verlinkt sind, über „Massenexport > Sicherheit > Unsichere Cross-Origin-Links“ exportiert werden.","Ziehen Sie die Vorteile in Betracht, wenn Sie das Linkattribut rel=""noopener"" in alle Links aufzunehmen, die das Attribut target=""_blank"" enthalten, um Sicherheits- und Performanceprobleme für die Benutzer älterer Browser zu vermeiden, die die Website möglicherweise besuchen."
"Canonicals: Canonicalised","Warnung","Hoch","9","7,380","Seiten, die über eine kanonische URL zu einer anderen URL verfügen. Die URL wird an einer anderen Stelle „kanonisiert“. Das bedeutet, dass die Suchmaschinen angewiesen werden, die Seite nicht zu indizieren, und die Indizierungs- und Verknüpfungseigenschaften sollten mit der URL im Canonical konsolidiert werden.","Diese URLs sollten sorgfältig überprüft werden, um sicherzustellen, dass die Indizierungs- und Linksignale mit der richtigen URL konsolidiert werden. In einer perfekten Welt müsste eine Website keine URLs kanonisieren, da nur kanonische Versionen intern auf einer Website verlinkt würden, aber oft sind sie aufgrund verschiedener Umstände erforderlich, die außerhalb der Kontrolle liegen, und um doppelte Inhalte zu verhindern. Aktualisieren Sie nach Möglichkeit interne Links zu kanonischen Versionen von URLs."
"Antwort-Codes: Externer Clientfehler (4xx)","Warnung","Niedrig","4","0,800","Externe URLs mit einem clientseitigen Fehler. Dies weist auf ein Problem mit der URL-Anforderung hin und kann Antworten wie 400 Bad Request, 403 Forbidden, 404 Page Not Found, 410 Removed, 429 Too Many Requests und mehr enthalten. Ein 404-Fehler „Seite nicht gefunden“ ist am häufigsten und wird oft als defekter Link bezeichnet. Zeigen Sie URLs an, die auf Fehler verweisen, indem Sie die untere Registerkarte „Inlinks“ verwenden, und exportieren Sie sie per Stapelverarbeitung über „Massenexport &gt; Antwortcodes &gt; Extern &gt; Clientfehler (4xx) Inlinks“.","Alle Links auf einer Website sollten idealerweise zu 200 „OK“-URLs aufgelöst werden. Fehler wie 404 defekte Links sollten aktualisiert werden, damit Benutzer zur richtigen URL weitergeleitet oder entfernt werden. Ein 403-Fehler tritt auf, wenn ein Webserver den Zugriff auf die Anfrage von SEO Spider verweigert, und kann häufig behoben werden, indem der User-Agent über „Config &gt; User-Agent“ auf Chrome umgestellt wird. Wenn sie in einem Browser angezeigt werden können, ist dies oft kein Problem."
"Inhalt: Lesbarkeit schwierig","Hinweis","Niedrig","72","59,020","Der Text auf der Seite ist schwer lesbar und am besten von Hochschulabsolventen gemäß der Flesch-Lesehilfe-Score-Formel zu verstehen. Texte mit langen Sätzen und komplexen Wörtern sind im Allgemeinen schwerer zu lesen und zu verstehen.","Erwägen Sie, die Lesbarkeit des Textes für Ihre Zielgruppe zu verbessern. Text, der kürzere Sätze mit weniger komplexen Wörtern verwendet, ist oft einfacher zu lesen und zu verstehen."
"URL: Großbuchstaben","Warnung","Niedrig","7","1,600","URLs, die Großbuchstaben enthalten. Bei URLs wird zwischen Groß- und Kleinschreibung unterschieden, daher sollten URLs als Best Practice im Allgemeinen in Kleinbuchstaben geschrieben werden, um mögliche Verwechslungen und doppelte URLs zu vermeiden.","Idealerweise sollten nur Kleinbuchstaben für URLs verwendet werden. Das Ändern von URLs ist jedoch eine wichtige Entscheidung, und oft lohnt es sich nicht, sie allein für SEO-Zwecke zu ändern. Werden URLs geändert, müssen entsprechende 301-Redirects implementiert werden."
"Direktive: Nofollow","Warnung","Hoch","17","3,950","URLs, die eine „nofollow“-Anweisung entweder in einem Robots-Meta-Tag oder X-Robots-Tag im HTTP-Header enthalten. Dies ist ein „Hinweis“, der den Suchmaschinen mitteilt, keinen Links auf der Seite zum Crawlen zu folgen. Dies wird im Allgemeinen fälschlicherweise in Kombination mit &#39;noindex&#39; verwendet, wenn diese Direktive nicht eingefügt werden muss, da sie verhindert, dass &#39;PageRank&#39; weitergegeben wird. Um Seiten mit einer Nofollow-Direktive im SEO Spider zu crawlen, aktivieren Sie „Follow Internal Nofollow“ über „Config &gt; Spider“.","URLs mit „nofollow“ sollten sorgfältig geprüft werden, um sicherzustellen, dass Links nicht gecrawlt und PageRank nicht weitergegeben werden. Wenn Outlinks gecrawlt und PageRanks weitergegeben werden sollen, dann sollte die &#39;nofollow&#39;-Direktive entfernt werden."
