"Adresse","Status-Code","Status","HTML-Wörterzahl","Anzahl der gerenderten HTML-Wörter","Wortanzahl ändern","JS-Wortzahl %","HTML-Titel","Titel für gerendertes HTML","HTML H1","Gerendertes HTML H1","HTML-Meta Description","Meta Description für gerendertes HTML","HTML-Canonical","HTML Canonical gerendert","Einzigartige Inlinks","Einzigartige JS-Inlinks","Einzigartige Outlinks","Einzigartige JS-Outlinks","Einzigartige externe Outlinks","Einzigartige externe JS-Outlinks","HTML-Meta-Roboter 1","Gerenderte HTML-Meta-Roboter 1","Gut aussehende URL","Schlecht aussehende URL","JS-Fehler","JS-Warnung","JS-Info","JS-Debug","JS-Problem"
"https://www.ehip.eu/","200","OK","1716","0","","","EHiP - Hochschule für Innovation und Perspektive","","Sprenge deine Grenzen und starte dein Fernstudium zum Bachelor!","","Gemeinsam stark: individuelle Betreuung für deinen Erfolg! ➤ Sprenge deine Grenzen und starte dein Fernstudium zum Bachelor an der EHiP!","","https://www.ehip.eu/","","122","0","66","0","8","0","index,follow","","https://www.ehip.eu/","https://www.ehip.eu/","","","","",""
"https://www.ehip.eu/study-guide/dein-studiensupport/","200","OK","499","0","","","Dein Support - vom Dozierenden bis zur Betreuung | EHiP","","","","Bei uns bekommst du deine persönliche 360-Grad-Betreuung, die gezielt für dich da ist, wenn du sie brauchst. ▲ Erfahre jetzt mehr!","","https://www.ehip.eu/study-guide/dein-studiensupport/","","122","0","59","0","8","0","index,follow","","https://www.ehip.eu/study-guide/dein-studiensupport/","https://www.ehip.eu/study-guide/dein-studiensupport/","","","","",""
"https://www.ehip.eu/study-guide/digitale-lerntools/","200","OK","596","0","","","Digitale Lerntools und Live-Formate | EHiP","","","","Individuelles & kollaboratives Lernen - beides geht! Entdecke unsere digitalen Lerntools und Live-Formate! ▲ Erfahre jetzt mehr!","","https://www.ehip.eu/study-guide/digitale-lerntools/","","122","0","59","0","8","0","index,follow","","https://www.ehip.eu/study-guide/digitale-lerntools/","https://www.ehip.eu/study-guide/digitale-lerntools/","","","","",""
"https://www.ehip.eu/study-guide/studieren-mit-ihk-abschluss/","200","OK","1199","0","","","Studieren mit IHK-Fortbildungsabschluss | EHiP","","","","Du möchtest studieren, hast aber kein Abitur? Kein Problem! Bei uns steht deinem Studium nichts mehr im Wege! ▲ Jetzt Infos sichern!","","https://www.ehip.eu/study-guide/studieren-mit-ihk-abschluss/","","122","0","60","0","8","0","index,follow","","https://www.ehip.eu/study-guide/studieren-mit-ihk-abschluss/","https://www.ehip.eu/study-guide/studieren-mit-ihk-abschluss/","","","","",""
"https://www.ehip.eu/ueber-uns/qualitaet/","200","OK","830","0","","","Qualität | EHiP","","Die EHiP steht für Qualität","","Entdecke alles zum Thema Anerkennung & Akkreditierung der EHiP im Überblick ▲ Lerne uns noch besser kennen!","","https://www.ehip.eu/ueber-uns/qualitaet/","","122","0","63","0","14","0","index,follow","","https://www.ehip.eu/ueber-uns/qualitaet/","https://www.ehip.eu/ueber-uns/qualitaet/","","","","",""
"https://www.ehip.eu/study-guide/gebuehrenmodelle/","200","OK","425","0","","","Finanzierungsmodelle an der EHiP","","","","Unsere Finanzierungsmodelle sind flexibel, planbar und selbstbestimmt. Gestalte dein Studium nach deinen Bedürfnissen! ▲ Jetzt mehr erfahren!","","https://www.ehip.eu/study-guide/gebuehrenmodelle/","","122","0","60","0","8","0","index,follow","","https://www.ehip.eu/study-guide/gebuehrenmodelle/","https://www.ehip.eu/study-guide/gebuehrenmodelle/","","","","",""
"https://www.ehip.eu/marketing-und-kommunikation-bachelorstudiengaenge/","200","OK","909","0","","","Marketing und Kommunikation | EHIP Bachelor Studium","","Marketing und Kommunikation","","Studiere Marketing und Kommunikation praxisnah und zielorientiert in deinem Tempo ✓Experten aus der Praxis ✓Zeit- und Ortsunabhängig ▲ Jetzt Infos sichern!","","https://www.ehip.eu/marketing-und-kommunikation-bachelorstudiengaenge/","","122","0","63","0","8","0","index,follow","","https://www.ehip.eu/marketing-und-kommunikation-bachelorstudiengaenge/","https://www.ehip.eu/marketing-und-kommunikation-bachelorstudiengaenge/","","","","",""
"https://www.ehip.eu/hochschule/karriere/","200","OK","876","0","","","Stellenangebote | EHIP","","Unsere vakanten Stellen","","Wir suchen DICH! Wir revolutionieren die Welt der Bildung! Werde Teil der EHiP - Europäische Hochschule für Innovation und Perspektive. ▲ Jetzt bewerben!","","https://www.ehip.eu/hochschule/karriere/","","122","0","73","0","8","0","index,follow","","https://www.ehip.eu/hochschule/karriere/","https://www.ehip.eu/hochschule/karriere/","","","","",""
"https://www.ehip.eu/coming-soon-duale-studiengaenge-unternehmen/","200","OK","931","0","","","Praxispartner werden | Duale Fernstudiengänge EHiP","","Coming Soon: EHIP Duale Fernstudiengänge","","Wir unterstützen Sie, die besten Talente zu finden!","","","","3","0","61","0","8","0","index,follow","","https://www.ehip.eu/coming-soon-duale-studiengaenge-unternehmen/","https://www.ehip.eu/coming-soon-duale-studiengaenge-unternehmen/","","","","",""
"https://www.ehip.eu/study-guide/fernstudium-finanzieren/","200","OK","1365","0","","","Fernstudium finanzieren - Alles was du wissen musst","","","","Informiere dich über die Finanzierungsmöglichkeiten für dein Fernstudium. Jetzt mehr erfahren!","","https://www.ehip.eu/study-guide/fernstudium-finanzieren/","","122","0","59","0","14","0","index,follow","","https://www.ehip.eu/study-guide/fernstudium-finanzieren/","https://www.ehip.eu/study-guide/fernstudium-finanzieren/","","","","",""
"https://www.ehip.eu/fernstudium/bachelor/sportmanagement-studium/","200","OK","3678","0","","","Sportmanagement studieren im flexiblen Fernstudium | EHIP","","B.A. Sportmanagement","","Sportmanagement studieren und im Profi- und Amateursport voll durchstarten. Nur bei uns! ✓100 % online ▲ Jetzt informieren!","","https://www.ehip.eu/fernstudium/bachelor/sportmanagement-studium/","","122","0","70","0","13","0","index,follow","","https://www.ehip.eu/fernstudium/bachelor/sportmanagement-studium/","https://www.ehip.eu/fernstudium/bachelor/sportmanagement-studium/","","","","",""
"https://www.ehip.eu/fernstudium/bachelor/fernstudium-fitnesstraining-fitnessmanagement/","200","OK","3258","0","","","Fitnesstraining und -management | 100% online | EHiP","","B.A. Fitnesstraining und -management","","Starte dein Fitnesstraining und -management Studium und mach dich bereit für spannende Aufgaben! ▲ Jetzt starten!","","https://www.ehip.eu/fernstudium/bachelor/fernstudium-fitnesstraining-fitnessmanagement/","","9","0","72","0","13","0","index,follow","","https://www.ehip.eu/fernstudium/bachelor/fernstudium-fitnesstraining-fitnessmanagement/","https://www.ehip.eu/fernstudium/bachelor/fernstudium-fitnesstraining-fitnessmanagement/","","","","",""
"https://www.ehip.eu/fernstudium/bachelor/ernaehrungswissenschaften-fernstudium/","200","OK","3533","0","","","Bachelor Ernährungswissenschaften im Fernstudium | EHIP","","B.A. Ernährungswissenschaft","","Bereit für gesunde Entscheidungen? Starte dein Ernährungswissenschaften Fernstudium ✓Praxisorientiert ▲ Jetzt informieren!","","https://www.ehip.eu/fernstudium/bachelor/ernaehrungswissenschaften-fernstudium/","","122","0","70","0","13","0","index,follow","","https://www.ehip.eu/fernstudium/bachelor/ernaehrungswissenschaften-fernstudium/","https://www.ehip.eu/fernstudium/bachelor/ernaehrungswissenschaften-fernstudium/","","","","",""
"https://www.ehip.eu/datenschutz/","200","OK","9784","0","","","Datenschutz | EHIP","","DATENSCHUTZRICHTLINIEN","","Den Schutz deiner Daten nehmen wir sehr ernst. Lese hier die Datenschutzbestimmungen der Hochschule EHIP.","","","","122","0","59","0","39","0","index,follow","","https://www.ehip.eu/datenschutz/","https://www.ehip.eu/datenschutz/","","","","",""
"https://www.ehip.eu/hochschule/team/","200","OK","272","0","","","Team | EHiP","","","","Wir sind dein EHiP-Hochschulteam ▲ Lerne uns kennen!","","https://www.ehip.eu/hochschule/team/","","122","0","84","0","8","0","noindex,nofollow","","https://www.ehip.eu/hochschule/team/","https://www.ehip.eu/hochschule/team/","","","","",""
"https://www.ehip.eu/vertrag-kuendigen/","200","OK","231","0","","","Studienvertrag kündigen","","","","Du möchtest deinen Studienvertrag kündigen? ▲ Jetzt mehr erfahren!","","https://www.ehip.eu/vertrag-kuendigen/","","122","0","59","0","9","0","noindex,nofollow","","https://www.ehip.eu/vertrag-kuendigen/","https://www.ehip.eu/vertrag-kuendigen/","","","","",""
"https://www.ehip.eu/fernstudium/bachelor/fernstudium-sportwissenschaft-ernaehrungswissenschaft/","200","OK","3090","0","","","Sport & Ernährung im Fernstudium | EHiP","","B.A. Sport- und Ernährungswissenschaft","","Du brennst für gesunde Ernährung & Sport? ✓Jederzeit starten ✓berufsbegleitend ▲ Jetzt beraten lassen!","","https://www.ehip.eu/fernstudium/bachelor/fernstudium-sportwissenschaft-ernaehrungswissenschaft/","","10","0","73","0","13","0","index,follow","","https://www.ehip.eu/fernstudium/bachelor/fernstudium-sportwissenschaft-ernaehrungswissenschaft/","https://www.ehip.eu/fernstudium/bachelor/fernstudium-sportwissenschaft-ernaehrungswissenschaft/","","","","",""
"https://www.ehip.eu/ueber-uns/fernstudium-erfahrungen/","200","OK","1445","0","","","Fernstudium Erfahrungen | EHiP","","EHiP Fernstudium Erfahrungen Was dein Studium an der EHiP so besonders macht?","","Sei der*die Manager*in deines Studiums: bei uns werden deine Fernstudium Erfahrungen zum Erfolg ▲ Informiere dich jetzt!","","https://www.ehip.eu/ueber-uns/fernstudium-erfahrungen/","","122","0","60","0","13","0","index,follow","","https://www.ehip.eu/ueber-uns/fernstudium-erfahrungen/","https://www.ehip.eu/ueber-uns/fernstudium-erfahrungen/","","","","",""
"https://www.ehip.eu/study-guide/studieren-aus-dem-ausland/","200","OK","717","0","","","Studieren aus dem Ausland | EHiP","","","","Du willst die Welt bereisen und gleichzeitig deine Karriere voranbringen! Wir zeigen dir wie! ▲ Informiere dich jetzt!","","https://www.ehip.eu/study-guide/studieren-aus-dem-ausland/","","122","0","59","0","8","0","index,follow","","https://www.ehip.eu/study-guide/studieren-aus-dem-ausland/","https://www.ehip.eu/study-guide/studieren-aus-dem-ausland/","","","","",""
"https://www.ehip.eu/study-guide/deine-studienberatung/","200","OK","219","0","","","Deine Studienberatung | EHiP","","","","Deine Studienberatung an der EHiP unterstützt dich persönlich, schnell und individuell! ✓100 % online ▲ Jetzt beraten lassen!","","https://www.ehip.eu/study-guide/deine-studienberatung/","","122","0","59","0","8","0","index,follow","","https://www.ehip.eu/study-guide/deine-studienberatung/","https://www.ehip.eu/study-guide/deine-studienberatung/","","","","",""
"https://www.ehip.eu/kontaktformular/","200","OK","105","0","","","Kontaktformular | EHIP","","","","Du hast Fragen oder wünschst dir eine ausführliche Beratung? ▲ Sprich uns an!","","https://www.ehip.eu/kontaktformular/","","122","0","58","0","8","0","noindex,nofollow","","https://www.ehip.eu/kontaktformular/","https://www.ehip.eu/kontaktformular/","","","","",""
"https://www.ehip.eu/study-guide/deine-bruecke-zu-uns/","200","OK","122","0","","","Deine Brücke zur EHiP","","","","Deine Studierendenberatung an der EHiP unterstützt dich persönlich, schnell und individuell! ✓100 % online ▲ Jetzt beraten lassen!","","https://www.ehip.eu/study-guide/deine-bruecke-zu-uns/","","122","0","59","0","8","0","index,follow","","https://www.ehip.eu/study-guide/deine-bruecke-zu-uns/","https://www.ehip.eu/study-guide/deine-bruecke-zu-uns/","","","","",""
"https://www.ehip.eu/fernstudium/bachelor/digital-marketing-studium/","200","OK","3441","0","","","B.A. Digital Marketing studieren an der EHiP Hochschule","","B.A. Digital Marketing","","Lerne zukunftsorientierte & innovative Konzepte im Digital Marketing Studium an der EHiP ✓100 % online ▲ Jetzt informieren!","","https://www.ehip.eu/fernstudium/bachelor/digital-marketing-studium/","","122","0","65","0","13","0","index,follow","","https://www.ehip.eu/fernstudium/bachelor/digital-marketing-studium/","https://www.ehip.eu/fernstudium/bachelor/digital-marketing-studium/","","","","",""
