"Adresse","Inhaltstyp","Größe (Bytes)","IMG-Inlinks","Indexierbarkeit","Indexierbarkeitsstatus","Abmessungen"
"https://www.delst.de/files/theme/cc/certification/pxa_bf_pos_small.png","image/png","3136","1","Indexierbar","",""
"https://www.delst.de/files/theme/cc/certification/logo-academyofsports-400.webp","image/webp","6832","1","Indexierbar","",""
"https://www.delst.de/assets/images/2/top-fernschule-2023-delst-0f956adb.webp","image/webp","1660","316","Indexierbar","",""
"https://www.delst.de/files/contents/logos/logo_delst_rgb.svg","image/svg+xml","0","316","Indexierbar","",""
"https://www.delst.de/files/zertifizierungen/awards/fsd-siegel-2024.png","image/png","5242","1","Indexierbar","",""
"https://www.delst.de/files/theme/cc/certification/DIHK-Bildungs-gGmbH-Logo.jpg","image/jpeg","7238","2","Indexierbar","",""
"https://www.delst.de/files/teaser/DeLSt/kontaktbanner.webp","image/webp","47996","26","Indexierbar","",""
"https://www.delst.de/files/zertifizierungen/zfu-siegel-zugelassen-grau-startseite-Wiederhergestellt.png","image/png","8273","1","Indexierbar","",""
"https://www.delst.de/assets/images/c/fsd-siegel-2024-f2de0e60.png","image/png","7701","316","Indexierbar","",""
"https://www.delst.de/files/theme/cc/certification/dekra.png","image/png","3346","1","Indexierbar","",""
"https://www.delst.de/files/theme/cc/certification/delst-top-anbieter-fortbildung24-breit.jpg","image/jpeg","9365","1","Indexierbar","",""
"https://www.delst.de/files/zertifizierungen/kursfinder-top-anbieter-2023.svg","image/svg+xml","0","1","Indexierbar","",""
"https://www.delst.de/files/theme/img/delst_qr_code_logo.png","image/png","5744","316","Indexierbar","",""
"https://www.delst.de/files/icons/WhatsApp_Logo_1.png","image/png","3498","316","Indexierbar","",""
"https://www.delst.de/files/contents/logos/partner/logo-ehip-cmyk-ou.webp","image/webp","1250","8","Indexierbar","",""
"https://www.delst.de/files/zertifizierungen/top-fernschule-2023-delst.png","image/png","5801","1","Indexierbar","",""
"https://www.delst.de/files/zertifizierungen/kununu-arbeitgeber-bewertung-de-open-company-delst.jpg","image/jpeg","14998","9","Indexierbar","",""
"https://www.delst.de/files/zertifizierungen/awards/kununu-arbeitgeber-bewertung-de_top_company-delst.jpg","image/jpeg","15024","9","Indexierbar","",""
"https://www.delst.de/files/contents/news/jobs-stellenangebote-stuttgart-delst.jpg","image/jpeg","64279","2","Indexierbar","",""
"https://www.delst.de/files/keyvisual/bildungsbereiche/Fitness-%20und%20Gesundheitsmanagement/fernstudium-fitness-gesundheitsmanagement-delst.webp","image/webp","5294","1","Indexierbar","",""
