"Adresse","Häufigkeit","H1-1","Länge von H1-1","H1-2","Länge von H1-2","Indexierbarkeit","Indexierbarkeitsstatus"
"https://www.delst.de/de/","2","Think outside the box","21","DEIN DELST","10","Indexierbar",""
"https://www.delst.de/de/stellenangebote/","1","Stellenangebote.","16","","0","Indexierbar",""
"https://www.delst.de/de/fernstudium-gesundheitsmanagement/","1","Fitness- und Gesundheitsmanagement","34","","0","Indexierbar",""
"https://www.delst.de/de/news/neu-pruefungstraining-wirtschaftsbezogene-qualifikationen-ihk/","1","Neu: Intensives Prüfungstraining für Wirtschaftsbezogene Qualifikationen (IHK)","78","","0","Indexierbar",""
"https://www.delst.de/de/studieninfos/","1","Studieninfos.","13","","0","Indexierbar",""
"https://www.delst.de/de/kalender-bildungsberatung/","1","Kalender - Rückruf Bildungsberatung.","36","","0","Indexierbar",""
"https://www.delst.de/de/ueber-uns/","1","Über uns.","9","","0","Indexierbar",""
"https://www.delst.de/de/foerdermoeglichkeiten/","1","Fördermöglichkeiten.","20","","0","Indexierbar",""
"https://www.delst.de/de/lehrgaenge-reiten/","1","Reitsport","9","","0","Indexierbar",""
"https://www.delst.de/de/ihk-weiterbildung/industriefachwirt-ihk-fernstudium/","1","Industriefachwirt IHK | Fernstudium","35","","0","Indexierbar",""
"https://www.delst.de/de/weiterbildung-arbeitsamt/","1","Maßnahmen mit Bildungsgutschein (AZAV)","38","","0","Indexierbar",""
"https://www.delst.de/de/rabattaktionen/think-outside-the-box/","1","Think outside the box","21","","0","Nicht indexierbar","noindex"
"https://www.delst.de/de/rechnungswesen-online/","1","Rechnungswesen","14","","0","Indexierbar",""
"https://www.delst.de/de/affiliate-partnerprogramm/","1","Partnerprogramm des DeLSt.","26","","0","Indexierbar",""
"https://www.delst.de/de/news/e-sports-manager-ihk-neuer-fernlehrgang/","1","E-Sports Manager (IHK) - neuer Fernlehrgang in Zusammenarbeit mit der IHK","73","","0","Indexierbar",""
"https://www.delst.de/de/kalender-videoberatung/","1","Kalender - Videoberatung.","25","","0","Indexierbar",""
"https://www.delst.de/de/master-professional/","1","Master Professional.","20","","0","Indexierbar",""
"https://www.delst.de/de/newsbeitraege/","2","News.","5","News","4","Indexierbar",""
"https://www.delst.de/de/lexikon/","1","A/B-Test","8","","0","Nicht indexierbar","Canonicalised"
"https://www.delst.de/de/magazinbeitraege/","2","Magazin.","8","Magazin","7","Indexierbar",""
"https://www.delst.de/de/deutsches-elearning-studieninstitut/","1","DeLSt.","6","","0","Indexierbar",""
"https://www.delst.de/de/faq/","1","FAQ","3","","0","Indexierbar",""
"https://www.delst.de/de/wirtschaftsfachwirt/","1","Wirtschaftsfachwirt.","20","","0","Indexierbar",""
"https://www.delst.de/de/digitalisierung-unternehmen-digitale-arbeitswelt/","1","Digitalisierung / IT","20","","0","Indexierbar",""
"https://www.delst.de/de/bildungscoach/","1","Bildungscoach.","14","","0","Indexierbar",""
"https://www.delst.de/de/online-campus/","1","Online Campus - deine persönliche Lernwelt.","43","","0","Indexierbar",""
"https://www.delst.de/de/fernstudium-hochschule/","1","Akademische Abschlüsse","22","","0","Indexierbar",""
"https://www.delst.de/de/weiterbildung-personalentwicklung-management/","1","Management und Personalentwicklung","34","","0","Indexierbar",""
"https://www.delst.de/de/datenschutzrichtlinien/","1","Datenschutzrichtlinien.","23","","0","Indexierbar",""
"https://www.delst.de/de/marketing-vertrieb-fernstudium/","1","Marketing und Vertrieb","22","","0","Indexierbar",""
"https://www.delst.de/de/handelsfachwirt/","1","Handelsfachwirt.","16","","0","Indexierbar",""
"https://www.delst.de/de/ihk-weiterbildung/","1","IHK-Weiterbildungen","19","","0","Indexierbar",""
"https://www.delst.de/de/delst-leitsaetze/","1","Leitsätze.","10","","0","Indexierbar",""
"https://www.delst.de/de/news/kennst-du-sven-arnusch/","1","Kennst du Sven Arnusch?","23","","0","Indexierbar",""
"https://www.delst.de/de/ihk-weiterbildung/wirtschaftsfachwirt-fernstudium/","1","Wirtschaftsfachwirt IHK | Fernstudium","37","","0","Indexierbar",""
"https://www.delst.de/de/weiterbildung-fuer-mitarbeiter-b2b/","1","Weiterbildungen für Mitarbeiter - B2B.","38","","0","Indexierbar",""
"https://www.delst.de/de/ausbildung-der-ausbilder-ada/","1","Ausbildung der Ausbilder (AdA).","31","","0","Indexierbar",""
"https://www.delst.de/de/coaching-ausbildung/","1","Kommunikation und Coaching","26","","0","Indexierbar",""
"https://www.delst.de/de/wirtschaft-weiterbildung/","1","Wirtschaft","10","","0","Indexierbar",""
"https://www.delst.de/de/agb/","1","Allgemeine Geschäftsbedingungen (AGB).","38","","0","Indexierbar",""
"https://www.delst.de/de/kontakt/","1","Kontakt","7","","0","Indexierbar",""
"https://www.delst.de/de/impressum/","1","Impressum.","10","","0","Indexierbar",""
"https://www.delst.de/de/ihk-weiterbildung/gepruefter-betriebswirt-ihk-fernstudium/","1","Betriebswirt IHK | Fernstudium","30","","0","Indexierbar",""
"https://www.delst.de/de/ihk-weiterbildung/handelsfachwirt-fernstudium/","1","Handelsfachwirt IHK | Fernstudium","33","","0","Indexierbar",""
"https://www.delst.de/de/e-learning-weiterbildung/","1","E-Learning / Online-Learning","28","","0","Indexierbar",""
"https://www.delst.de/de/stellenangebote/mitarbeiter-massnahmenzertifizierungen-azav/","1","Mitarbeiter Maßnahmenzertifizierungen nach AZAV (m/w/d).","56","","0","Indexierbar",""
"https://www.delst.de/de/stellenangebote/beauftrager-fuer-azav-traeger-und-massnahmenzulassung/","1","Beauftragte*r für AZAV-Träger- und Maßnahmenzulassung (m/w/d).","62","","0","Indexierbar",""
"https://www.delst.de/de/stellenangebote/prozessmanager/","1","Prozessmanager (m/w/d).","23","","0","Indexierbar",""
"https://www.delst.de/de/stellenangebote/markenbotschafter-social-media/","1","Markenbotschafter Social Media (m/w/d).","39","","0","Indexierbar",""
"https://www.delst.de/de/stellenangebote/bildungsmanager-bildungsbereich-kaufmaennische-berufe-ihk-lehrgaenge/","1","Bildungsmanager - Bildungsbereich Kaufmännische Berufe & IHK-Lehrgänge (m/w/d).","79","","0","Indexierbar",""
"https://www.delst.de/de/stellenangebote/studienberater-mit-schwerpunkt-vertrieb-b2c/","1","Studienberater mit Schwerpunkt Vertrieb B2C (m/w/d).","52","","0","Indexierbar",""
"https://www.delst.de/de/stellenangebote/bildungsmanager-bildungsbereich-wirtschaft-management/","1","Bildungsmanager - Bildungsbereich Wirtschaft & Management (m/w/d).","66","","0","Indexierbar",""
"https://www.delst.de/de/stellenangebote/initiativbewerbung/","1","Initiativbewerbung - genau dich suchen wir!.","44","","0","Indexierbar",""
"https://www.delst.de/de/fernstudium-gesundheitsmanagement/ausdauertrainer-ausbildung/","1","Ausdauertrainer | Fernstudium","29","","0","Indexierbar",""
"https://www.delst.de/de/fernstudium-gesundheitsmanagement/qualitaetsmanagement-gesundheitswesen-weiterbildung/","1","Qualitätsmanagement im Gesundheits- und Sozialwesen | Fernkurs","62","","0","Indexierbar",""
"https://www.delst.de/de/fernstudium-gesundheitsmanagement/spa-ausbildung/","1","SPA-Management | Fernkurs","25","","0","Indexierbar",""
"https://www.delst.de/de/fernstudium-gesundheitsmanagement/fernstudium-ernahrungsberater/","1","Ernährungsberater | Fernstudium","31","","0","Indexierbar",""
"https://www.delst.de/de/fernstudium-gesundheitsmanagement/fitnesstrainer-ausbildung/","1","Fitnesstrainer B-Lizenz | Fernstudium","37","","0","Indexierbar",""
