"Adresse","Wortanzahl","Sätze zählen","Durchschnittliche Wörter pro Satz","Flesch Reading Ease-Punktzahl","Lesbarkeit","Engste Ähnlichkeitsübereinstimmung","Anzahl der Nahduplikate","Sprachfehler insgesamt","Rechtschreibfehler","Grammatikfehler","Language","Hash","Indexierbarkeit","Indexierbarkeitsstatus"
"https://www.delst.de/de/","189","63","3,000","25,190","Sehr schwer","","","","","","de","125eebdfa00d1ab38abed16706ad9b12","Indexierbar",""
"https://www.delst.de/de/stellenangebote/","196","44","4,455","21,891","Sehr schwer","","","","","","de","c296d0296e7df3f7861136effb1c0c67","Indexierbar",""
"https://www.delst.de/de/fernstudium-gesundheitsmanagement/","154","39","3,949","38,022","Schwer","","","","","","de","42a97f1443e215531b532dbf2c9abf96","Indexierbar",""
"https://www.delst.de/de/news/neu-pruefungstraining-wirtschaftsbezogene-qualifikationen-ihk/","461","93","4,957","39,577","Schwer","","","","","","de","41627691e151fd4b6afac6fa26f92021","Indexierbar",""
"https://www.delst.de/de/studieninfos/","196","43","4,558","36,893","Schwer","","","","","","de","e93937947474f66281926967822ee225","Indexierbar",""
"https://www.delst.de/de/kalender-bildungsberatung/","21","7","3,000","50,704","Relativ schwer","","","","","","de","8b6c1cc850943da48a48c644ea4d40be","Indexierbar",""
"https://www.delst.de/de/ueber-uns/","1038","188","5,521","35,699","Schwer","","","","","","de","b82de164438c6b57ef20695c2f454515","Indexierbar",""
"https://www.delst.de/de/foerdermoeglichkeiten/","306","67","4,567","38,529","Schwer","","","","","","de","f0df9de73bb7aa328ebb5532b465a6ff","Indexierbar",""
"https://www.delst.de/de/lehrgaenge-reiten/","605","98","6,173","47,310","Schwer","","","","","","de","1ddb084357c802c50311cbf8cf616ba2","Indexierbar",""
"https://www.delst.de/de/ihk-weiterbildung/industriefachwirt-ihk-fernstudium/","10184","3908","2,606","38,039","Schwer","","","","","","de","a39d71bf716431640969d428097f96ca","Indexierbar",""
"https://www.delst.de/de/weiterbildung-arbeitsamt/","2311","439","5,264","26,142","Sehr schwer","","","","","","de","e3cc6f50adfb363ec1389c9a49794a2b","Indexierbar",""
"https://www.delst.de/de/rabattaktionen/think-outside-the-box/","650","124","5,242","53,139","Relativ schwer","","","","","","de","861c9cbfbbda1e1e9844bb9c587b44f6","Nicht indexierbar","noindex"
"https://www.delst.de/de/rechnungswesen-online/","115","33","3,485","52,489","Relativ schwer","","","","","","de","17652ef4f79aaa6d0c412046a163cfe","Indexierbar",""
"https://www.delst.de/de/affiliate-partnerprogramm/","282","58","4,862","43,200","Schwer","","","","","","de","e00579ad6085738d4a99a04da2adbb8d","Indexierbar",""
"https://www.delst.de/de/news/e-sports-manager-ihk-neuer-fernlehrgang/","200","39","5,128","40,467","Schwer","","","","","","de","88e1bd4a0764c8d2bb75ca7882fc2ad0","Indexierbar",""
"https://www.delst.de/de/kalender-videoberatung/","20","7","2,857","51,655","Relativ schwer","","","","","","de","b4471ade49995341de854c171845eea2","Indexierbar",""
"https://www.delst.de/de/master-professional/","1055","176","5,994","43,659","Schwer","","","","","","de","536374cb7846906dc4cc74b575b9efbf","Indexierbar",""
"https://www.delst.de/de/newsbeitraege/","645","226","2,854","93,761","Sehr einfach","","","","","","de","a32b510940ade16ffe963b9b7e7ea0a6","Indexierbar",""
"https://www.delst.de/de/lexikon/","659","252","2,615","36,008","Schwer","","","","","","de","a4593ab60412e3bbf5481c42e9eb07d7","Nicht indexierbar","Canonicalised"
"https://www.delst.de/de/magazinbeitraege/","1307","454","2,879","88,308","Einfach","","","","","","de","a5282285001fefa7d1a71ede3b40648","Indexierbar",""
"https://www.delst.de/de/deutsches-elearning-studieninstitut/","258","63","4,095","55,776","Relativ schwer","","","","","","de","8e01956126f9144dba2d9045040e3d29","Indexierbar",""
"https://www.delst.de/de/faq/","2092","319","6,558","48,489","Schwer","","","","","","de","f06f0d0324bb6a83fcbd1eb7fda5d3be","Indexierbar",""
"https://www.delst.de/de/wirtschaftsfachwirt/","985","175","5,629","37,161","Schwer","","","","","","de","3471e9fd95f7be43adf8f3a16c9a78f","Indexierbar",""
"https://www.delst.de/de/digitalisierung-unternehmen-digitale-arbeitswelt/","1302","206","6,320","28,296","Sehr schwer","","","","","","de","2681773c5089d5c3a523477c56a3651c","Indexierbar",""
