"Adresse","Inhaltstyp","Status-Code","Status","Indexierbarkeit","Indexierbarkeitsstatus","Titel 1","Länge von Titel 1","Pixelbreite von Titel 1","Meta Description 1","Länge von Meta Description 1","Pixelbreite von Meta Description 1","Meta Keywords 1","Länge der Meta Keywords 1","H1-1","Länge von H1-1","H1-2","Länge von H1-2","H2-1","Länge von H2-1","H2-2","Länge von H2-2","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical-Linkelement 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml-Linkelement","Größe (Bytes)","Übertragen (Bytes)","Total Transferred (bytes)","CO₂ (mg)","CO2-Bewertung","Wortanzahl","Sätze zählen","Durchschnittliche Wörter pro Satz","Flesch Reading Ease-Punktzahl","Lesbarkeit","Textanteil","Crawltiefe","Ordnertiefe","Link Score","Inlinks","Einzigartige Inlinks","Einzigartige JS-Inlinks","% von Gesamt","Outlinks","Einzigartige Outlinks","Einzigartige JS-Outlinks","Externe Outlinks","Einzigartige externe Outlinks","Einzigartige externe JS-Outlinks","Engste Ähnlichkeitsübereinstimmung","Anzahl der Nahduplikate","Rechtschreibfehler","Grammatikfehler","Hash","Antwortzeit","Last Modified","Umleitungs-URL","Umleitungs-Typ","Cookies","Language","HTTP-Version","Alternativer Mobil-Link","Kodierte Adresse der URL","Crawlzeitstempel"
"https://www.delst.de/de/","text/html; charset=utf-8","200","OK","Indexierbar","","DeLSt - Deutsches eLearning Studieninstitut","43","394","Staatlich geprüfte und zugelassene Fernstudiengänge am DeLSt ▲ Wähle aus zahlreichen Ausbildungen und Weiterbildungen im Fernstudium!","133","869","","0","Think outside the box","21","DEIN DELST","10","12 Themengebiete für dein Fernstudium","37","IHK-Abschlüsse","14","index,follow","","","https://www.delst.de/de/","","","","","","58936","10941","10941","3,879","","189","63","3,000","25,190","Sehr schwer","5,446","0","1","","569","316","0","100,000","85","46","0","19","17","0","","","","","125eebdfa00d1ab38abed16706ad9b12","0,384","","","","","de","1.1","","https://www.delst.de/de/","2024-08-27 16:32:38"
"https://www.delst.de/assets/jquery-ui/js/jquery-ui.min.js?v=1.13.2","application/javascript","200","OK","Indexierbar","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,073","Thu, 25 Apr 2024 09:08:05 GMT","","","","","1.1","","https://www.delst.de/assets/jquery-ui/js/jquery-ui.min.js?v=1.13.2","2024-08-27 16:32:39"
"https://www.delst.de/files/theme/cc/certification/pxa_bf_pos_small.png","image/png","200","OK","Indexierbar","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","3136","3136","3136","1,112","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,066","Tue, 20 Aug 2024 06:55:47 GMT","","","","","1.1","","https://www.delst.de/files/theme/cc/certification/pxa_bf_pos_small.png","2024-08-27 16:32:39"
"https://www.delst.de/files/theme/js/menu.js?v=ab3a30ff","application/javascript","200","OK","Indexierbar","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,067","Wed, 10 Nov 2021 08:53:48 GMT","","","","","1.1","","https://www.delst.de/files/theme/js/menu.js?v=ab3a30ff","2024-08-27 16:32:39"
"https://www.delst.de/files/shariff-3.2.1/shariff.min.js","application/javascript","200","OK","Indexierbar","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","2","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,082","Mon, 27 May 2019 06:23:38 GMT","","","","","1.1","","https://www.delst.de/files/shariff-3.2.1/shariff.min.js","2024-08-27 16:32:39"
"https://www.delst.de/de/stellenangebote/","text/html; charset=utf-8","200","OK","Indexierbar","","Wir suchen dich! DeLSt-Stellenangebote","38","357","Als eines der am schnellsten wachsenden Fernlehrinstitute suchen wir ständig nach Verstärkung. ▲ Bewirb dich jetzt!","115","716","","0","Stellenangebote.","16","","0","WACHSE MIT UNS UND FINDE DEINEN TRAUMJOB AM DELST!","50","OFFENE STELLENANGEBOTE:","23","index,follow","","","https://www.delst.de/de/stellenangebote/","","","","","","36233","8529","8529","3,024","","196","44","4,455","21,891","Sehr schwer","8,726","1","2","","654","315","0","99,680","60","41","0","10","10","0","","","","","c296d0296e7df3f7861136effb1c0c67","0,349","","","","","de","1.1","","https://www.delst.de/de/stellenangebote/","2024-08-27 16:32:39"
"https://www.delst.de/files/theme/js/custom.js?v=ab3a30ff","application/javascript","200","OK","Indexierbar","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,022","Wed, 10 Nov 2021 08:53:48 GMT","","","","","1.1","","https://www.delst.de/files/theme/js/custom.js?v=ab3a30ff","2024-08-27 16:32:39"
"https://www.delst.de/files/theme/js/debug.js?v=ab3a30ff","application/javascript","200","OK","Indexierbar","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,065","Wed, 10 Nov 2021 08:53:48 GMT","","","","","1.1","","https://www.delst.de/files/theme/js/debug.js?v=ab3a30ff","2024-08-27 16:32:39"
"https://www.delst.de/files/theme/js/viewport.js?v=ab3a30ff","application/javascript","200","OK","Indexierbar","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,067","Wed, 10 Nov 2021 08:53:48 GMT","","","","","1.1","","https://www.delst.de/files/theme/js/viewport.js?v=ab3a30ff","2024-08-27 16:32:39"
"https://www.delst.de/de/fernstudium-gesundheitsmanagement/","text/html; charset=utf-8","200","OK","Indexierbar","","Fitness- und Gesundheitsmanagement Weiterbildungen | DeLSt","58","566","Weiterbildungen im Fitness- und Gesundheitsmanagement ✓Täglich starten ✓Flexibel nebenberuflich oder in Vollzeit ▲ Jetzt online starten!","136","842","","0","Fitness- und Gesundheitsmanagement","34","","0","Fitnessmanagement Aus- und Weiterbildungen","42","Gesundheitsmanagement Aus- und Weiterbildungen","46","","","","https://www.delst.de/de/fernstudium-gesundheitsmanagement/","","","","","","35012","7892","7892","2,798","","154","39","3,949","38,022","Schwer","7,891","1","2","","640","315","0","99,680","62","43","0","10","10","0","","","","","42a97f1443e215531b532dbf2c9abf96","0,521","","","","","de","1.1","","https://www.delst.de/de/fernstudium-gesundheitsmanagement/","2024-08-27 16:32:39"
