"Problemname","Problemtyp","Problempriorität","URLs","% von Gesamt","Beschreibung","Wie repariert man"
"Seitentitel: Über 60 Zeichen","Hinweis","Mittel","22","6,960","Seiten mit Seitentiteln, die das konfigurierte Limit überschreiten. Zeichen, die dieses Limit überschreiten, werden möglicherweise in den Suchergebnissen von Google abgeschnitten und haben weniger Gewicht bei der Bewertung.","Schreiben Sie prägnante Seitentitel, um sicherzustellen, dass wichtige Wörter in den Suchergebnissen nicht abgeschnitten werden, für Benutzer nicht sichtbar sind und bei der Bewertung möglicherweise weniger gewichtet werden."
"Bilder: Fehlende Größenattribute","Hinweis","Niedrig","15","15,310","Bildelemente, für die im HTML keine Abmessungen (also Breiten- und Höhenattribute) angegeben sind. Das kann zu größeren Layout-Verschiebungen führen, wenn die Seite lädt, was frustrierend für die Nutzer ist. Es ist auch einer der Hauptgründe für eine hohe kumulative Layout-Verschiebung (CLS).","Geben Sie mithilfe der Breiten- und Höhenattribute in HTML für alle Bilder ihre eigentliche Größe an. Das ermöglicht es dem Browser, vor dem Laden ausreichend Platz für alle Bilder zu berechnen, um große Layout-Verschiebungen zu vermeiden."
"Sicherheit: Unsichere Cross-Origin-Links","Warnung","Niedrig","316","68,850","URLs, die mit dem Attribut target=""_blank"" (zum Öffnen in einem neuen Tab) auf externe Websites verlinken, ohne gleichzeitig rel=""noopener"" (oder rel=""noreferrer"") zu verwenden. Durch die alleinige Verwendung von target=""_blank"" sind diese Seiten sowohl Sicherheits- als auch Performanceproblemen für einige ältere Browser ausgesetzt, die auf weniger als 5 % des Marktanteils geschätzt werden. Das Festlegen von target=""_blank"" für <a>-Elemente bietet implizit dasselbe rel-Verhalten wie das Festlegen von rel=""noopener"", wodurch window.opener für die meisten modernen Browser wie Chrome, Safari, Firefox und Edge nicht festgelegt wird. Die externen Links, die das Attribut target=""_blank"" selbst enthalten, können in der Registerkarte „Outlinks“ und der Spalte „Ziel“ angezeigt werden. Sie können zusammen mit den Seiten, von denen sie verlinkt sind, über „Massenexport > Sicherheit > Unsichere Cross-Origin-Links“ exportiert werden.","Ziehen Sie die Vorteile in Betracht, wenn Sie das Linkattribut rel=""noopener"" in alle Links aufzunehmen, die das Attribut target=""_blank"" enthalten, um Sicherheits- und Performanceprobleme für die Benutzer älterer Browser zu vermeiden, die die Website möglicherweise besuchen."
"Antwort-Codes: Externer Clientfehler (4xx)","Warnung","Niedrig","4","0,800","Externe URLs mit einem clientseitigen Fehler. Dies weist auf ein Problem mit der URL-Anforderung hin und kann Antworten wie 400 Bad Request, 403 Forbidden, 404 Page Not Found, 410 Removed, 429 Too Many Requests und mehr enthalten. Ein 404-Fehler „Seite nicht gefunden“ ist am häufigsten und wird oft als defekter Link bezeichnet. Zeigen Sie URLs an, die auf Fehler verweisen, indem Sie die untere Registerkarte „Inlinks“ verwenden, und exportieren Sie sie per Stapelverarbeitung über „Massenexport &gt; Antwortcodes &gt; Extern &gt; Clientfehler (4xx) Inlinks“.","Alle Links auf einer Website sollten idealerweise zu 200 „OK“-URLs aufgelöst werden. Fehler wie 404 defekte Links sollten aktualisiert werden, damit Benutzer zur richtigen URL weitergeleitet oder entfernt werden. Ein 403-Fehler tritt auf, wenn ein Webserver den Zugriff auf die Anfrage von SEO Spider verweigert, und kann häufig behoben werden, indem der User-Agent über „Config &gt; User-Agent“ auf Chrome umgestellt wird. Wenn sie in einem Browser angezeigt werden können, ist dies oft kein Problem."
"Canonicals: Canonicalised","Warnung","Hoch","68","21,450","Seiten, die über eine kanonische URL zu einer anderen URL verfügen. Die URL wird an einer anderen Stelle „kanonisiert“. Das bedeutet, dass die Suchmaschinen angewiesen werden, die Seite nicht zu indizieren, und die Indizierungs- und Verknüpfungseigenschaften sollten mit der URL im Canonical konsolidiert werden.","Diese URLs sollten sorgfältig überprüft werden, um sicherzustellen, dass die Indizierungs- und Linksignale mit der richtigen URL konsolidiert werden. In einer perfekten Welt müsste eine Website keine URLs kanonisieren, da nur kanonische Versionen intern auf einer Website verlinkt würden, aber oft sind sie aufgrund verschiedener Umstände erforderlich, die außerhalb der Kontrolle liegen, und um doppelte Inhalte zu verhindern. Aktualisieren Sie nach Möglichkeit interne Links zu kanonischen Versionen von URLs."
"Sicherheit: Falscher Inhaltstyp","Warnung","Niedrig","4","0,870","Dies zeigt alle URLs an, bei denen der tatsächliche Inhaltstyp nicht mit dem im Header festgelegten Inhaltstyp übereinstimmt. Es identifiziert auch alle ungültigen MIME-Typen, die verwendet werden. Wenn der Response-Header X-Content-Type-Options: nosniff vom Server gesetzt wird, ist dies besonders wichtig, da Browser auf den Content-Type-Header angewiesen sind, um die Seite korrekt zu verarbeiten. Dies kann dazu führen, dass HTML-Webseiten heruntergeladen und nicht gerendert werden, wenn sie beispielsweise mit einem anderen MIME-Typ als text/html bereitgestellt werden.","Analysieren Sie URLs, die mit einem fehlerhaften Inhaltstyp identifiziert wurden, und legen Sie einen genauen MIME-Typ im Inhaltstyp-Header fest."
"Inhalt: Lesbarkeit schwierig","Hinweis","Niedrig","95","29,970","Der Text auf der Seite ist schwer lesbar und am besten von Hochschulabsolventen gemäß der Flesch-Lesehilfe-Score-Formel zu verstehen. Texte mit langen Sätzen und komplexen Wörtern sind im Allgemeinen schwerer zu lesen und zu verstehen.","Erwägen Sie, die Lesbarkeit des Textes für Ihre Zielgruppe zu verbessern. Text, der kürzere Sätze mit weniger komplexen Wörtern verwendet, ist oft einfacher zu lesen und zu verstehen."
"H1: Mehrere","Warnung","Mittel","3","0,950","Seiten mit mehreren <h1>s. Dies ist zwar streng genommen kein Problem, da die HTML5-Standards mehrere <h1>s auf einer Seite zulassen, aber es gibt einige Probleme mit diesem modernen Ansatz in Bezug auf die Benutzerfreundlichkeit. Es wird empfohlen, den Rang der Überschrift (h1-h6) zu verwenden, um die Dokumentstruktur zu vermitteln. Der klassische HTML4-Standard definiert, dass es nur eine <h1> pro Seite geben soll, und dies wird immer noch allgemein für Benutzer und SEO empfohlen.","Erwägen Sie, den HTML-Code so zu aktualisieren, dass er eine einzige <h1> auf jeder Seite enthält und nutzen Sie den vollen Überschriftenrang zwischen (h2 - h6) für zusätzliche Überschriften."
"Direktive: Nofollow","Warnung","Hoch","60","13,160","URLs, die eine „nofollow“-Anweisung entweder in einem Robots-Meta-Tag oder X-Robots-Tag im HTTP-Header enthalten. Dies ist ein „Hinweis“, der den Suchmaschinen mitteilt, keinen Links auf der Seite zum Crawlen zu folgen. Dies wird im Allgemeinen fälschlicherweise in Kombination mit &#39;noindex&#39; verwendet, wenn diese Direktive nicht eingefügt werden muss, da sie verhindert, dass &#39;PageRank&#39; weitergegeben wird. Um Seiten mit einer Nofollow-Direktive im SEO Spider zu crawlen, aktivieren Sie „Follow Internal Nofollow“ über „Config &gt; Spider“.","URLs mit „nofollow“ sollten sorgfältig geprüft werden, um sicherzustellen, dass Links nicht gecrawlt und PageRank nicht weitergegeben werden. Wenn Outlinks gecrawlt und PageRanks weitergegeben werden sollen, dann sollte die &#39;nofollow&#39;-Direktive entfernt werden."
"H2: Duplikate","Hinweis","Niedrig","57","18,040","Seiten mit doppelten <h2>. Es ist wichtig, eindeutige, einzigartige und nützliche Seiten zu haben. Wenn jede Seite die gleiche <h2> hat, dann kann es für Benutzer und Suchmaschinen schwieriger werden, eine Seite von einer anderen zu unterscheiden.","Aktualisieren Sie doppelte <h2>, wenn es nötig ist, damit wichtige Seiten eine eindeutige und beschreibende <h2> für Nutzer und Suchmaschinen enthalten. Wenn es sich um doppelte Seiten handelt, beheben Sie die doppelten Seiten, indem Sie auf eine einzelne Version verlinken, und leiten Sie sie um oder verwenden Sie gegebenenfalls Canonicals."
"Links: Seiten mit vielen externen Outlinks","Warnung","Niedrig","156","49,370","Seiten mit einer hohen Anzahl von verfolgten externen Outlinks, basierend auf den Einstellungen für „Hohe externe Outlinks“ unter „Config &gt; Spider &gt; Preferences“. Externe Outlinks sind Hyperlinks zu einer anderen Subdomain oder Domain (abhängig von Ihrer Konfiguration). Dies kann vollständig gültig sein, z. B. beim Verlinken zu einem anderen Teil derselben Stammdomäne oder zu anderen nützlichen Websites. Externe verfolgte Outlinks können auf der Registerkarte „Outlinks“ angezeigt werden, wenn der Filter „Alle Linktypen“ auf „Hyperlinks“ und die Spalte „Folgen“ auf „Wahr“ eingestellt ist.","Überprüfen Sie verfolgte externe Outlinks, um sicherzustellen, dass es sich um glaubwürdige, vertrauenswürdige und relevante Websites handelt, die für Ihre Benutzer nützlich sind."
